Post ID,Answer ID,User ID,Comment,Date
1,2,1,"Right, staying offline prevents a lot of problems. How about being on an intranet with other devices that do connect to the internet? For example, how much more vulnerable is an IoT system if it has a raspberry pi as part of its internal network, which in turn is connecting to an internet connected smart phone via bluetooth?",Feb 3 at 3:58
1,2,2,"@cr0, ""device hopping"" is a real concern.  But consider, the bad actor would have to get through internet, bluetooth, and then exploit the RPi and finally exploit the IoT device.  This isn't any different than issues faced by non-IoT intranet devices.",Feb 5 at 19:48
1,5,5,"P.S. I know that that's not how ""Build a better mousetrap"" is usually used.",Feb 5 at 20:36
1,5,1,"This is helpful about physical security - all good things to consider. In my case I'm somewhat new to the area so I don't know risks first hand. Neighbors report theft in the area due to local teenagers. I see teenagers hanging out in the neighborhood but haven't had problems yet. As you said, it's about making targets ""not worth it"" to potential attackers",Feb 6 at 16:36
2,1,6,"Recently, one such doll was found to be so insecure that it was classified as ""hidden espionage device"" in Germany (and banned), see e.g. discussion over at IoT iot.stackexchange.com/questions/1074/… (one of the two referred to in the 3rd paragraph of the #toyfail quote)",Oct 31 '17 at 19:52
2,1,7,"...and if you absolutely must have them, do the sane thing and at the very least segregate them on a network segment all of their own, ideally with no access (beyond that of any untrusted device on the big bad Internet) to anything else. At least that way, if something happens, you are limiting the potential damage somewhat.",Oct 31 '17 at 19:52
2,1,8,"@Michael Kjörling, no, just NO. Anders just explained that this ""doll"" is a spy device, that needs to have access to the internet to work. Your privacy seems to be the last thing on the doll makers list to take into account. The sane thing here is to not have one!",Nov 2 '17 at 8:18
2,1,7,"@Flummox Why do you think I started out my comment the way I did, including the formatting? I agree with this answer, and there's no way I'd buy one myself (for this and for other reasons as well), but if and only if someone has a genuine need for something like this, then there still are steps that can be taken to mitigate the risks a little bit. In such a situation, not at least doing that would be the height of irresponsibility, both toward yourself, others in your household, and others on the Internet.",Nov 2 '17 at 8:26
2,2,7,"Also, keeping in mind the distinction about what a remote attacker is trying to access. Assuming you aren't a high-profile target (and if you are, you probably know better than to trust random strangers on the Internet for security advice), it's fairly unlikely that a remote attacker who gains access to an IoT device (even one that can remotely be turned into an active microphone and speaker, or camera, in your home) is particularly interested in you specifically. It's all the more likely that they are interested in the device itself, e.g. for its computational power or network connectivity.",Oct 31 '17 at 20:16
2,2,7,"In response to your edit, in fairness, I wasn't necessarily thinking of using the device as an attack bot, though that's an obvious thing that could happen (think Mirai and the DNS overload attack against Twitter and friends recently, for one). Think also e.g. bitcoin mining, or sending spam e-mails. Sure, a toy like the one exemplified in the question probably doesn't have enough computational power to make a major difference, but if the cost to the attacker is next to zero, it doesn't need to do much in order to turn a profit, especially if you've got thousands of them working for you...",Oct 31 '17 at 20:21
2,2,10,"There was a recent documentary (BBC if memory serves me correctly) showing the story of an elderly woman who answered the phone to a scammer and was convinced to transfer them a large sum of money. Key to the scam was their use of the camera and microphone on her laptop during the call. If such a device as this ""toy"" is easier to break into than a (presumably) windows machine, then this becomes just one example where an exploit of this type increases the risk surface area",Nov 2 '17 at 4:47
2,3,12,"Never mind the threats to National Security. If every conversation in a large enough sample of homes is recorded and digitised, it does not really bear thinking about that data being used in future prosecutions for crimes against the state. If it is being sent upstream for AI language learning (sold to Google or AWS, say) there may be some value in preserving languages that die out in future?",Nov 1 '17 at 3:21
3,2,19,"Even better - provide a (large) prize for security vulnerabilities, with more severe vulnerabilities (measured in maximum damage they can cause) earning a larger prize. This will hopefully convince some wannabe crackers to disclose the details (certain prize) as opposed to trying to exploit them (uncertain, possibly greater but probably smaller prize, plus risk of being caught).",Sep 1 '17 at 20:53
3,2,20,I would even encourage to make the firmware free software or open source.,Sep 2 '17 at 7:06
3,2,21,"@wizzwizz4 Many businesses do not have the capital to operate a fully-fledged bug bounty program, particularly SMEs and self-funded startups. In general I've seen these businesses offer alternative recompense, such as free or heavily discounted products, t-shirts, swag, etc. depending on the nature of the business and brand. Bug bounties do not necessarily need to be formal and costly.",Sep 2 '17 at 10:53
3,2,19,"@Polynomial Many businesses don't have the capital to not operate a bug bounty program. If a large breach is found, surely it's worth that $x for it not to be found when your clients are suing you for damages caused by a breach.",Sep 2 '17 at 11:33
3,2,21,"@wizzwizz4 I doubt that the lack of a bug bounty program would ever be the confounding factor in a breach. Bounties are great, but they're an optional layer in almost any business' defence budget, perhaps with the exception of highly public organisations. If the goal is to avoid a breach, the cost and time involved with running a BBP can be better invested in more direct defence measures such as staff training and improving blue team capabilities. BBPs are great if you've already got everything else covered and have spare budget, or if the perception of security markets well in your vertical.",Sep 2 '17 at 12:20
3,3,21,"Open source may be a step too far for a commercial product, and the ""many eyes"" principle is generally flawed (see: the state of OpenSSL before Heartbleed). That said, if the project uses any GPL licensed code without special agreement from the author then the full source must be made available anyway.",Sep 1 '17 at 14:30
3,3,7,@Polynomial If the project uses any GPL licensed code then the parts that directly touch the GPL code must be made available as source code. Not all of it. Mere aggregation still applies.,Sep 2 '17 at 23:05
3,3,22,"I can see how that might be an issue with fully Open Source. Also, it usually comes down to semantics when it comes to Open Sourcing on GPL code. I'll look into the OpenSSL matter as well, thanks for that!",Sep 4 '17 at 5:24
3,3,23,"I really think a good answer should address the issue of ""if my software has to be proprietary, is it worth encrypting/obfuscating"".  There may be plenty of reasons to keep software proprietary that have nothing to do with security (contracts with customers, red tape by management, valuable algorithms).   I also believe that publishing your source code isn't a good way to fix up an insecure software development process and shouldn't be overemphasized by dedicating the entire answer to it.",Sep 6 '17 at 21:36
3,5,19,You could always make it illegal to distribute the decryption key! Making numbers illegal definitely works...,Sep 2 '17 at 11:51
3,8,7,"Encryption and signing are orthogonal. Both may have value, but they solve different problems and do so separately.",Sep 2 '17 at 23:10
3,8,28,"Both are very hard if you don't use some crypto library properly, and easy if you do. If you do one, doing the other adds very little effort. And both solve the same problem: Helping to keep the hardware safe.",Sep 2 '17 at 23:43
3,8,29,"What you are missing is that the encryption in the anecdote you mention is only even relevant because the code is encrypted everywhere but inside the trusted execution unit.  For an ordinary processor, even if the update is encrypted in flight or in storage, it will have to be decrypted by something stored on the device to execute.  It's fairly hard to make it so that someone in possession of the a copy of the hardware can't get at the decrypted code, and only in the unusual situations where that is done effectively does encrypting the update in flight matter.",Sep 3 '17 at 19:28
3,8,30,"@gnasher729 Actually, the longer to first hack, the worse. Three years later, it's much harder to fix the bug -- the manufacturer may not even still be around and who knows if they still have the tooling. And three years later, the device might be forgotten about and unmaintained. Three years later, there will be more devices in the field.The sooner flaws are found, the sooner (and more likely) that they're fixed. (And how do you know that one really bad guy didn't know about the flaw and had three extra years to exploit it?)",Sep 4 '17 at 4:23
4,1,32,"(+1) If ISPs implemented NIF (tools.ietf.org/html/bcp38), that would help.  Although, I'm not sure whether playing wack-a-mole with IPv6 is really feasible unless you are considering ""hard coding"" IPs into devices like MAC addresses.  Otherwise, you are back to, get your IP blocked, get new one, and be back in business.",Oct 26 '16 at 19:38
4,1,33,"@Shackledtodesk I have to agree - I just think at least being able to uniquely, if only temporarily, ID the actual devices has to be a step forward.",Oct 26 '16 at 19:40
4,1,34,@Shackledtodesk are we assuming that IPv6 hard-coded addresses won't be spoofed the way MAC are right now?,Oct 26 '16 at 19:44
4,1,32,"@Mindwin, you make a perfectly valid point about spoofing.",Oct 26 '16 at 19:55
4,1,34,"I once heard a joke about IPv6 in the university, I can't recall it fully, but it ends with ""Fine, I'll just use my lightbulb's [IPv6] address instead."" @Shackledtodesk =) - heck, even iphone's IMEI are being spoofed now.",Oct 26 '16 at 20:01
5,2,33,"A lot of the time, that root password is in the firmware / boot image and cannot be changed without reflashing, unfortunately.  Still worth a try - but if you do try it, make sure you fully power cycle the camera to see if it stays (ie, unplug for 30 seconds to ensure the memory is cleared, plug in again, see what root password it is using)",Oct 25 '16 at 15:18
5,2,40,@crovers edited ;),Oct 25 '16 at 15:19
5,2,41,"I tried changing the password, but it resets at reboot",Oct 26 '16 at 7:21
5,2,40,It's probably embedded in the firmware then. You'll need to use the other mitigating controls to reduce the risk of compromise.,Oct 26 '16 at 12:18
6,1,43,Note that with IPv6 the devices would be accessible by default without even needing UPnP nor opening ports (most consumer-grade routers don't firewall IPv6 from what I've seen).,Oct 25 '16 at 3:58
6,1,44,@AndréBorie It is probably not a good idea for routers to have no firewall by default. I think a large number of consumers have a (possibly unjustified) expectation that the router will protect all the insecure devices on the LAN. And I think those who really don't need the firewall will know how to access the configuration and change the firewall setting.,Oct 25 '16 at 7:22
6,1,45,"@AndréBorie On some level, that expectation is a hangover from IPv4 and NAT, where two devices couldn't communicate unless ports are explicitly opened on routers. It seems likely that as IPv6 adoption increases, and brings universal addressability, a lot of vunerabilities will emerge in software that opens TCP ports and trusts the data received on them.",Oct 25 '16 at 11:20
6,1,46,"@AndréBorie, most consumer-grade routers that support IPv6, e.g. Linksys, do firewall IPv6, but they don't NAT IPv6. Those are two very different things.",Oct 25 '16 at 18:44
6,1,47,"@AndréBorie I've never seen a consumer grade router that didn't firewall IPv6, though I'm sure one must exist. Of course, then you have the additional problem of figuring out the IPv6 address...",Oct 25 '16 at 19:51
6,2,49,"I think OP is interested in knowing how SSH/Telnet would be accessible when the device is connected to a private home network, which would normally have an inbound NAT firewall.",Oct 25 '16 at 3:11
6,2,30,"That is a common misunderstanding. They typically have NAT devices that have firewall capabilities that vary from minimal to none at all. Where there are firewall capabilities, they are almost never enabled.",Oct 25 '16 at 18:44
6,2,46,"@tlng05, don't confuse NAT, a kludge to extend IPv4 addressing, with firewalls. You can have a very secure firewall that doesn't have NAT enabled, and you can NAT on a device without having a firewall. The firewall/router combination is just a convenient place to NAT, but it is not a firewall.",Oct 25 '16 at 18:46
6,2,50,"@RonMaupin Still, if it's behind NAT, how would a telnet request on port 23 ever reach the IoT device? How would the router know to forward to the camera? I've heard stuff about UPnP on here, but why in the hell would the manufacturer forward port 23 through UPnP? Doesn't make sense!",Dec 4 '16 at 22:48
6,2,46,"@RenéG, a firewall protects your network, not NAT. If you have no firewall features, it is possible to take over the router by its public address, Then NAT does nothing for you because the router knows how to get to the internal network. Also, if a different port is open, it is possible under some circumstances to get through NAT to take over an inside host, then all bets are off. NAT doesn't really provide security, firewalls do.",Dec 4 '16 at 22:53
6,3,52,"Its accesible from the wider Internet, there you are correct. I won't say that is wide open. I think for over 20 years the basic routers are closed on the common ports. You cannot connect over port 22 to each ip-adres of something like that. But as stated above. UPnP removes this security big time. Never enable that, that makes your router insecure",Oct 25 '16 at 9:35
6,3,30,"@AdamSitemap The only security UPnP removes is accidental security. If a port is filtered by a firewall, enabling UPnP won't unfilter it. If a port is not filtered by a firewall, any security is accidental and unreliable.",Oct 25 '16 at 18:45
